item_d,s_name
"Clamp SK42 BZI Ø40,63 Lisa",HAINBUCH GMBH
PLATE N610014970AE,PANASONIC DO BRASIL LTDA.
"PALLET,STAINLESS STEEL N210088015AA",PANASONIC DO BRASIL LTDA.
"TUBE,PCTFE N510069068AA",PANASONIC DO BRASIL LTDA.
GUIDE N610048963AB,PANASONIC DO BRASIL LTDA.
NOZZLE HOLDER N610009409AA,PANASONIC DO BRASIL LTDA.
SPRING KXF0DKAAA00,PANASONIC DO BRASIL LTDA.
CLAMP ARM KXFB00S6A03,PANASONIC DO BRASIL LTDA.
"SPRING,STEEL N210007425AA",PANASONIC DO BRASIL LTDA.
Collet Nut 969.483  MGN6,Hahn + Kolb Werkzeuge Gmbh
Collet Nut 969.488  MGN20,Hahn + Kolb Werkzeuge Gmbh
Sealed Nut 969.873  MPS10-0708,Hahn + Kolb Werkzeuge Gmbh
Sealed Nut 969.884  MPS13-1112,Hahn + Kolb Werkzeuge Gmbh
Sealed Nut 969.909  MPS20-1314,Hahn + Kolb Werkzeuge Gmbh
Sealed Nut 969.915  MPS20-1920,Hahn + Kolb Werkzeuge Gmbh
Collet Chuck 805.256,Hahn + Kolb Werkzeuge Gmbh
Collet 961.522  NBC6-6AA,Hahn + Kolb Werkzeuge Gmbh
Collet 961.557  NBC10-5AA,Hahn + Kolb Werkzeuge Gmbh
Collet 961.561  NBC10-7AA,Hahn + Kolb Werkzeuge Gmbh
