item_d,s_name
REX2087230NF458261LINHA3VANTILADOR,Bosch Rexroth Ltda.
REX2080832NF455350LINHA4TRANS,Bosch Rexroth Ltda.
REX2060128NF445265PLACA,Bosch Rexroth Ltda.
MFT3-1852 -992/21-71880055JD-15-06 (2PC),LUIS FERNANDO SOLDATI - ME
MP REX211394 NF468700 CABOEMPFAENGER,Bosch Rexroth Ltda.
REX2080855NF455403LINHA6PLCIRC,Bosch Rexroth Ltda.
REX2083387NF456509LINHA5CAPACI,Bosch Rexroth Ltda.
REX2080345NF454932LINHA4VENTILA,Bosch Rexroth Ltda.
MP REX608349 NF469709VENTDC012V,Bosch Rexroth Ltda.
REX613121NF489705 R913034540,Bosch Rexroth Ltda.
REX613376 NF490127 R911229626,Bosch Rexroth Ltda.
REX2065208ROL,Bosch Rexroth Ltda.
REX2073479 NF 451635 LINHA5,Bosch Rexroth Ltda.
REX608881 NF472069TRANSGEBER,Bosch Rexroth Ltda.
SP - CONJUNTO MFT5_0280-20,RDB COMERCIO INDUSTRIA E SERV DE EQ
MP REX211394 NF468700 ACOPLADORHCPL316J,Bosch Rexroth Ltda.
REX613123NF489402,Bosch Rexroth Ltda.
MFT3-4529 - LM2024-Gr31,GDS USINAGEM LTDA - ME
REX2046342TRANS,Bosch Rexroth Ltda.
SP - MFT3-3999 - 0804GW2645 (5pos/8pc),GDS USINAGEM LTDA - ME
MFT3 272 -718800546L-17 - 2pos/3PC,LUIS FERNANDO SOLDATI - ME
REX2080853NF455457LINHA4ROL6001,Bosch Rexroth Ltda.
MFT3-4003 - 0804EN3126 gr.12(15pos/18pcs,PASSARELLA USINAGEM E FERRAMENTARIA
REX2083391NF456780LINHA3CALCOKUG,Bosch Rexroth Ltda.
REX2113092 NF468660 ROLOACI,Bosch Rexroth Ltda.
REX611462 NF482902FLAGEFERMDD065A100X100,Bosch Rexroth Ltda.
MP MUELLER NF 460297 MO,C O MUELLER COMERCIO DE MOTORES E B
REX2074456 NF450730LINHA6,Bosch Rexroth Ltda.
MFT3-1314:71880057M3 13 (5 POS/ 5PC),LUIS FERNANDO SOLDATI - ME
MFT3-1116: 7188.005.72X-9 (3 POS/ 4PC),METALURGICA VH LTDA
NIPO-TEC - 47.001.00.730 - BROCA,FERRAMENTAS NIPO-TEC INDUSTRIA E
REX613122NF489453 R911272705,Bosch Rexroth Ltda.
REX2059669NF445206ROL6001,Bosch Rexroth Ltda.
REX2083391NF456780LINHA5ROL6206,Bosch Rexroth Ltda.
Material CA 140/1 - MFT,FECHALAR FECHADURAS E FERRAGENS
REX2080849NF455186LINHA8CALCO,Bosch Rexroth Ltda.
REX2081677NF455803LINHA6FLANGE,Bosch Rexroth Ltda.
SP - MFT5_0096-21,TEC CAR USINAGEM DE PRECISAO LTDA.
MFT3-1983 - 71880059E2-20 (1pos/3pc),LUIS FERNANDO SOLDATI - ME
MFT3-1772 - 718800573C Gr65 15/28,PASSARELLA USINAGEM E FERRAMENTARIA
REX2073805 NF 451721 LINHA6,Bosch Rexroth Ltda.
REX2073465 NF451722 LINHA2,Bosch Rexroth Ltda.
REX2083387NF456509LINHA6VENTI,Bosch Rexroth Ltda.
SP - CONJUNTO MFT5_0155-20,PASSARELLA USINAGEM E FERRAMENTARIA
REX2046097CALC,Bosch Rexroth Ltda.
SP -  MFT3-860 - 71880055JD-11 - 3POS/3P,METALURGICA VH LTDA
MFT3-1594 - 71880022FD Gr11 02/03,PASSARELLA USINAGEM E FERRAMENTARIA
REX2046342ANEL,Bosch Rexroth Ltda.
REX2073805 NF 451721 LINHA3,Bosch Rexroth Ltda.
MP REX 2108390 NF466903 PLCIRC IMP,Bosch Rexroth Ltda.
MFT3-2061 - 71880058W4-41,LUIS FERNANDO SOLDATI - ME
MFT3-2359 - 718800573C Gr33 - 18 1pç,LUIS FERNANDO SOLDATI - ME
REX2080855NF455403LINHA3ANEL,Bosch Rexroth Ltda.
REX2070027 NF449887 LINHA7,Bosch Rexroth Ltda.
REX2060039NF445697ACOP,Bosch Rexroth Ltda.
 MFT3-2866 718800626K-50 3pos/3pcs.,LUIS FERNANDO SOLDATI - ME
MFT3-1786 - 718800573C Gr27 13/18,PASSARELLA USINAGEM E FERRAMENTARIA
REX2115286 NF470938 CONDELETRO100,Bosch Rexroth Ltda.
REX608078NF468517DISCO POLAR MKD025,Bosch Rexroth Ltda.
REX2070030 NF 449888 LINHA4,Bosch Rexroth Ltda.
MFT3-383 71880046ER-500 (64CJTS),LUIS FERNANDO SOLDATI - ME
mft3-1776 71880038Z6_56_01,VAP INDUSTRIA COMERCIO E SERVICOS D
MFT3-4368 71880015WV GR,METALURGICA VH LTDA
REX2083391NF456780LINHA2TRANSIS,Bosch Rexroth Ltda.
NIPO-TEC ORÇ13.570 BROCA 4706100085 CRIN,FERRAMENTAS NIPO-TEC INDUSTRIA E
REX2111343 NF469708 IGNITN,Bosch Rexroth Ltda.
REX 215285 NF471122 ROLAMENTOESFERA6205,Bosch Rexroth Ltda.
TEC8311-22 - Conj. Adeq. à NR12 Arburg 4,"K2 PROJETOS, EQUIPAMENTOS E"
MFT3-1717 -71880040HK / GR. 24 1PC,LUIS FERNANDO SOLDATI - ME
MFT3-750 - 718800564B Gr14,LUIS FERNANDO SOLDATI - ME
MFT3-4756  718800700U-34 4pc/4pos,NSB - INST COMERC LTDA
MP REX607388 NF64656ESTATOR TACHO SE-B2/,Bosch Rexroth Ltda.
REX2065193 NF 447610 LINHA3,Bosch Rexroth Ltda.
MFT3-879 - 718800203Z-18,LUIS FERNANDO SOLDATI - ME
REX2073465 NF451722 LINHA7,Bosch Rexroth Ltda.
MFT3-850 - 71880055WZ-32  (6 POS/ 24PC).,METALURGICA VH LTDA
MFT3-1144: 7188.001.4VK-17 (8 POS/ 10 PC,METALURGICA VH LTDA
MFT3-1809 - 718800573C Gr50 03/04,LUIS FERNANDO SOLDATI - ME
MP MUELLER10983NF448235 MO,C O MUELLER COMERCIO DE MOTORES E B
MP REX609392 NF474358CONELEAE_100U_A__25,Bosch Rexroth Ltda.
REX2072327 NF451121 LINHA3,Bosch Rexroth Ltda.
REX2090602 NF 459465 PLCIRC,Bosch Rexroth Ltda.
REX613373 NF490124,Bosch Rexroth Ltda.
REX613375 NF490126 R911229626,Bosch Rexroth Ltda.
REX612116 NF485426 CONDELETEAEAE_220U_R_,Bosch Rexroth Ltda.
MFT3-1031 71880055JJ-19 (13POS/33PC),LUIS FERNANDO SOLDATI - ME
NIPO-TEC BROCA FNT495-854,FERRAMENTAS NIPO-TEC INDUSTRIA E
REX2059669NF445206ANEL,Bosch Rexroth Ltda.
MP REX2112844 NF470656 ANEL JUNTA,Bosch Rexroth Ltda.
REX2113191 NF469968 PFCAB CILINC M2,Bosch Rexroth Ltda.
REX613373 NF490124,Bosch Rexroth Ltda.
MFT3-1906 - 71880059GL_20 3pos/4pçs,METALURGICA VH LTDA
REX2090609NF459454A NELJUNTADOEIXO A17X2,Bosch Rexroth Ltda.
REX2103429 NF465092 CONTATOD L3,Bosch Rexroth Ltda.
MFT3_1115 - 71880054VY_13 (3POS/4PC),PASSARELLA USINAGEM E FERRAMENTARIA
REX2081677NF455803LINHA3ANEL,Bosch Rexroth Ltda.
REX613374 NF490125,Bosch Rexroth Ltda.
REX2073805 NF 451721 LINHA2,Bosch Rexroth Ltda.
KIT ARAMIDA TEC 811 - LEXUS NX 300 TSV,CARBON BLINDADOS LTDA
REX613120 NF489718 R911223132,Bosch Rexroth Ltda.
