item_d,s_name
REX2087230NF458261LINHA3VANTILADOR,Bosch Rexroth Ltda.
REX2080832NF455350LINHA4TRANS,Bosch Rexroth Ltda.
REX2060128NF445265PLACA,Bosch Rexroth Ltda.
MP REX211394 NF468700 CABOEMPFAENGER,Bosch Rexroth Ltda.
REX2080855NF455403LINHA6PLCIRC,Bosch Rexroth Ltda.
REX2083387NF456509LINHA5CAPACI,Bosch Rexroth Ltda.
REX2080345NF454932LINHA4VENTILA,Bosch Rexroth Ltda.
MP REX608349 NF469709VENTDC012V,Bosch Rexroth Ltda.
REX613121NF489705 R913034540,Bosch Rexroth Ltda.
REX613376 NF490127 R911229626,Bosch Rexroth Ltda.
REX2065208ROL,Bosch Rexroth Ltda.
REX2073479 NF 451635 LINHA5,Bosch Rexroth Ltda.
REX608881 NF472069TRANSGEBER,Bosch Rexroth Ltda.
MP REX211394 NF468700 ACOPLADORHCPL316J,Bosch Rexroth Ltda.
REX613123NF489402,Bosch Rexroth Ltda.
REX2046342TRANS,Bosch Rexroth Ltda.
REX2080853NF455457LINHA4ROL6001,Bosch Rexroth Ltda.
REX2083391NF456780LINHA3CALCOKUG,Bosch Rexroth Ltda.
REX2113092 NF468660 ROLOACI,Bosch Rexroth Ltda.
REX611462 NF482902FLAGEFERMDD065A100X100,Bosch Rexroth Ltda.
REX2074456 NF450730LINHA6,Bosch Rexroth Ltda.
REX613122NF489453 R911272705,Bosch Rexroth Ltda.
REX2059669NF445206ROL6001,Bosch Rexroth Ltda.
REX2083391NF456780LINHA5ROL6206,Bosch Rexroth Ltda.
REX2080849NF455186LINHA8CALCO,Bosch Rexroth Ltda.
REX2081677NF455803LINHA6FLANGE,Bosch Rexroth Ltda.
REX2073805 NF 451721 LINHA6,Bosch Rexroth Ltda.
REX2073465 NF451722 LINHA2,Bosch Rexroth Ltda.
REX2083387NF456509LINHA6VENTI,Bosch Rexroth Ltda.
REX2046097CALC,Bosch Rexroth Ltda.
REX2046342ANEL,Bosch Rexroth Ltda.
REX2073805 NF 451721 LINHA3,Bosch Rexroth Ltda.
MP REX 2108390 NF466903 PLCIRC IMP,Bosch Rexroth Ltda.
REX2080855NF455403LINHA3ANEL,Bosch Rexroth Ltda.
REX2070027 NF449887 LINHA7,Bosch Rexroth Ltda.
REX2060039NF445697ACOP,Bosch Rexroth Ltda.
REX2115286 NF470938 CONDELETRO100,Bosch Rexroth Ltda.
REX608078NF468517DISCO POLAR MKD025,Bosch Rexroth Ltda.
REX2070030 NF 449888 LINHA4,Bosch Rexroth Ltda.
REX2083391NF456780LINHA2TRANSIS,Bosch Rexroth Ltda.
REX2111343 NF469708 IGNITN,Bosch Rexroth Ltda.
REX 215285 NF471122 ROLAMENTOESFERA6205,Bosch Rexroth Ltda.
MP REX607388 NF64656ESTATOR TACHO SE-B2/,Bosch Rexroth Ltda.
REX2065193 NF 447610 LINHA3,Bosch Rexroth Ltda.
REX2073465 NF451722 LINHA7,Bosch Rexroth Ltda.
MP REX609392 NF474358CONELEAE_100U_A__25,Bosch Rexroth Ltda.
REX2072327 NF451121 LINHA3,Bosch Rexroth Ltda.
REX2090602 NF 459465 PLCIRC,Bosch Rexroth Ltda.
REX613373 NF490124,Bosch Rexroth Ltda.
REX613375 NF490126 R911229626,Bosch Rexroth Ltda.
REX612116 NF485426 CONDELETEAEAE_220U_R_,Bosch Rexroth Ltda.
REX2059669NF445206ANEL,Bosch Rexroth Ltda.
MP REX2112844 NF470656 ANEL JUNTA,Bosch Rexroth Ltda.
REX2113191 NF469968 PFCAB CILINC M2,Bosch Rexroth Ltda.
REX613373 NF490124,Bosch Rexroth Ltda.
REX2090609NF459454A NELJUNTADOEIXO A17X2,Bosch Rexroth Ltda.
REX2103429 NF465092 CONTATOD L3,Bosch Rexroth Ltda.
REX2081677NF455803LINHA3ANEL,Bosch Rexroth Ltda.
REX613374 NF490125,Bosch Rexroth Ltda.
REX2073805 NF 451721 LINHA2,Bosch Rexroth Ltda.
REX613120 NF489718 R911223132,Bosch Rexroth Ltda.
